source,title,link,published,sent_compound,sent_label
WSJ World,"Trump Says Colombia Will Accept Deportees, Ending Tariff Standoff",https://www.wsj.com/articles/trump-says-colombia-will-face-25-tariffs-amid-fight-over-deportation-flights-e32dc497,2025-01-27 03:59:00+00:00,0.3818,positive
WSJ World,Jeju Air Crash Probe Focuses On Engine Damage After Bird Strike,https://www.wsj.com/articles/jeju-air-crash-probe-focuses-on-engine-damage-after-bird-strike-3bafc2ff,2025-01-27 03:53:00+00:00,-0.7506,negative
WSJ World,"Germany's Economic Model Is Broken, and No One Has a Plan B",https://www.wsj.com/articles/germany-economic-model-broken-exports-095a488d,2025-01-27 02:00:00+00:00,-0.6486,negative
WSJ World,"Trump Says He Wants to 'Clean Out' Gaza, Send Refugees to Egypt and Jordan",https://www.wsj.com/articles/trump-says-he-wants-to-clean-out-gaza-send-refugees-to-egypt-and-jordan-d90beccc,2025-01-26 23:30:00+00:00,0.4019,positive
WSJ World,Hamas Releases Four Female Israeli Soldiers Under Gaza Cease-Fire Deal,https://www.wsj.com/articles/israel-hamas-four-hostages-release-gaza-3ffd66f6,2025-01-25 18:45:00+00:00,0.0,neutral
WSJ World,Hamas Took More Than 200 Hostages From Israel. Here's What We Know.,https://www.wsj.com/articles/hamas-hostages-israel-gaza-41432124,2025-01-25 17:00:00+00:00,0.0,neutral
WSJ World,U.N. and Congolese Troops Struggle to Halt Lightning Rebel Attack,https://www.wsj.com/articles/u-n-and-congolese-troops-struggle-to-halt-lightning-rebel-attack-705b481c,2025-01-25 14:32:00+00:00,-0.7184,negative
WSJ World,Who Are the Israeli Hostages Released by Hamas?,https://www.wsj.com/articles/who-israeli-hostages-released-hamas-gaza-efdfd57f,2025-01-25 11:57:00+00:00,0.0,neutral
WSJ World,The Latest Gaza Hostages Freed: Women Whose Hamas Warnings Were Ignored,https://www.wsj.com/articles/the-next-hostages-to-be-freed-women-whose-hamas-warnings-were-ignored-f17682a0,2025-01-25 10:05:00+00:00,-0.2023,negative
WSJ World,"Beijing Signals Readiness to Talk to Trump's Team, Even Old Foes",https://www.wsj.com/articles/beijing-signals-readiness-to-talk-to-trumps-team-even-old-foes-2faddbec,2025-01-25 00:58:00+00:00,-0.25,negative
WSJ World,"Canada Is Becoming a Fentanyl Exporter, and a Target for Trump",https://www.wsj.com/articles/canada-fentanyl-increase-organized-crime-00886863,2025-01-24 22:56:00+00:00,0.0,neutral
